pathway,source,interactiontype,target
AGE-RAGE signaling pathway in diabetic complications,c00195,activation$indirect effect,mapk8*mapk9*mapk10
AGE-RAGE signaling pathway in diabetic complications,nos3,activation$indirect effect,mapk14*mapk11*mapk13*mapk12
AGE-RAGE signaling pathway in diabetic complications,c21011*c21012*c21013*c21014,activation,ager
AGE-RAGE signaling pathway in diabetic complications,c00195,activation$indirect effect,mapk14*mapk11*mapk13*mapk12
AGE-RAGE signaling pathway in diabetic complications,nos3,activation$indirect effect,mapk8*mapk9*mapk10
AGE-RAGE signaling pathway in diabetic complications,agt,activation,agtr1
AGE-RAGE signaling pathway in diabetic complications,c00076,activation,prkca*prkcb*prkcd*prkce*prkcz
AGE-RAGE signaling pathway in diabetic complications,tgfbr1,phosphorylation,smad2*smad3
AGE-RAGE signaling pathway in diabetic complications,mapk1*mapk3,activation$indirect effect,nfkb1*rela
AGE-RAGE signaling pathway in diabetic complications,agtr1,activation$indirect effect,tgfb2*tgfb3
AGE-RAGE signaling pathway in diabetic complications,agtr1,activation$indirect effect,tgfb1
AGE-RAGE signaling pathway in diabetic complications,ager,activation$indirect effect,p3r3urf-pik3r3*pik3ca*pik3cb*pik3cd*pik3r1*pik3r2*pik3r3
AGE-RAGE signaling pathway in diabetic complications,ager,activation$indirect effect,plcd3*plcb1*plce1*plcb2*plcb3*plcb4*plcd1*plcg1*plcg2*plcd4
AGE-RAGE signaling pathway in diabetic complications,ager,activation,diaph1
AGE-RAGE signaling pathway in diabetic complications,tgfb2*tgfb3,activation,tgfbr2
AGE-RAGE signaling pathway in diabetic complications,p3r3urf-pik3r3*pik3ca*pik3cb*pik3cd*pik3r1*pik3r2*pik3r3,activation$indirect effect,akt3*akt1*akt2
AGE-RAGE signaling pathway in diabetic complications,p3r3urf-pik3r3*pik3ca*pik3cb*pik3cd*pik3r1*pik3r2*pik3r3,activation$indirect effect,casp3
AGE-RAGE signaling pathway in diabetic complications,plcd3*plcb1*plce1*plcb2*plcb3*plcb4*plcd1*plcg1*plcg2*plcd4,activation,c00165
AGE-RAGE signaling pathway in diabetic complications,plcd3*plcb1*plce1*plcb2*plcb3*plcb4*plcd1*plcg1*plcg2*plcd4,activation,c01245
AGE-RAGE signaling pathway in diabetic complications,diaph1,activation$indirect effect,rac1*cdc42
AGE-RAGE signaling pathway in diabetic complications,akt3*akt1*akt2,activation$indirect effect,nfkb1*rela
AGE-RAGE signaling pathway in diabetic complications,c00165,activation,prkca*prkcb*prkcd*prkce*prkcz
AGE-RAGE signaling pathway in diabetic complications,rac1*cdc42,activation$indirect effect,mapk14*mapk11*mapk13*mapk12
AGE-RAGE signaling pathway in diabetic complications,prkcb,activation$indirect effect,mapk8*mapk9*mapk10
AGE-RAGE signaling pathway in diabetic complications,mapk14*mapk11*mapk13*mapk12,activation$indirect effect,jun
AGE-RAGE signaling pathway in diabetic complications,mapk14*mapk11*mapk13*mapk12,activation$indirect effect,nfkb1*rela
AGE-RAGE signaling pathway in diabetic complications,mapk8*mapk9*mapk10,activation$indirect effect,nfkb1*rela
AGE-RAGE signaling pathway in diabetic complications,jun,expression,ager
AGE-RAGE signaling pathway in diabetic complications,nfkb1*rela,expression,ager
AGE-RAGE signaling pathway in diabetic complications,nfkb1*rela,expression,vegfd*vegfa*vegfb*vegfc
AGE-RAGE signaling pathway in diabetic complications,nfkb1*rela,expression,ccl2
AGE-RAGE signaling pathway in diabetic complications,nfkb1*rela,expression,serpine1
AGE-RAGE signaling pathway in diabetic complications,nfkb1*rela,expression,sele
AGE-RAGE signaling pathway in diabetic complications,nfkb1*rela,expression,vcam1
AGE-RAGE signaling pathway in diabetic complications,nfkb1*rela,expression,icam1
AGE-RAGE signaling pathway in diabetic complications,nfkb1*rela,expression,mmp2
AGE-RAGE signaling pathway in diabetic complications,nfkb1*rela,expression,il1a*il1b
AGE-RAGE signaling pathway in diabetic complications,nfkb1*rela,expression,il6
AGE-RAGE signaling pathway in diabetic complications,nfkb1*rela,expression,cxcl8
AGE-RAGE signaling pathway in diabetic complications,nfkb1*rela,expression,tnf
AGE-RAGE signaling pathway in diabetic complications,nfkb1*rela,expression,f3
AGE-RAGE signaling pathway in diabetic complications,nfkb1*rela,expression,edn1
AGE-RAGE signaling pathway in diabetic complications,nfkb1*rela,expression,thbd
AGE-RAGE signaling pathway in diabetic complications,ager,activation,cybb*nox1*nox4
AGE-RAGE signaling pathway in diabetic complications,ager,activation$phosphorylation,jak2
AGE-RAGE signaling pathway in diabetic complications,ager,activation$indirect effect,prkcb
AGE-RAGE signaling pathway in diabetic complications,jak2,activation$phosphorylation,stat3
AGE-RAGE signaling pathway in diabetic complications,jak2,activation$phosphorylation,stat1*stat3
AGE-RAGE signaling pathway in diabetic complications,jak2,activation$phosphorylation,stat5a*stat5b
AGE-RAGE signaling pathway in diabetic complications,prkca*prkcb*prkcd*prkce*prkcz,activation$indirect effect,cybb*nox1*nox4
AGE-RAGE signaling pathway in diabetic complications,prkca*prkcb*prkcd*prkce*prkcz,activation$phosphorylation$indirect effect,mapk1*mapk3
AGE-RAGE signaling pathway in diabetic complications,prkca*prkcb*prkcd*prkce*prkcz,activation$phosphorylation$indirect effect,mapk14*mapk11*mapk13*mapk12
AGE-RAGE signaling pathway in diabetic complications,prkca*prkcb*prkcd*prkce*prkcz,activation$phosphorylation$indirect effect,mapk8*mapk9*mapk10
AGE-RAGE signaling pathway in diabetic complications,stat3,expression,pim1
AGE-RAGE signaling pathway in diabetic complications,stat3,expression,nfatc1
AGE-RAGE signaling pathway in diabetic complications,stat1*stat3,expression,col1a1*col1a2
AGE-RAGE signaling pathway in diabetic complications,stat5a*stat5b,expression,ccnd1
AGE-RAGE signaling pathway in diabetic complications,mapk1*mapk3,activation$indirect effect,jun
AGE-RAGE signaling pathway in diabetic complications,mapk1*mapk3,activation$phosphorylation$indirect effect,smad2*smad3
AGE-RAGE signaling pathway in diabetic complications,mapk14*mapk11*mapk13*mapk12,activation$indirect effect,foxo1
AGE-RAGE signaling pathway in diabetic complications,mapk14*mapk11*mapk13*mapk12,inhibition$indirect effect,bcl2
AGE-RAGE signaling pathway in diabetic complications,mapk14*mapk11*mapk13*mapk12,activation$indirect effect,bax
AGE-RAGE signaling pathway in diabetic complications,mapk14*mapk11*mapk13*mapk12,activation$phosphorylation$indirect effect,smad2*smad3
AGE-RAGE signaling pathway in diabetic complications,mapk8*mapk9*mapk10,activation$indirect effect,foxo1
AGE-RAGE signaling pathway in diabetic complications,mapk8*mapk9*mapk10,inhibition$indirect effect,bcl2
AGE-RAGE signaling pathway in diabetic complications,mapk8*mapk9*mapk10,activation$indirect effect,bax
AGE-RAGE signaling pathway in diabetic complications,mapk8*mapk9*mapk10,activation$indirect effect,egr1
AGE-RAGE signaling pathway in diabetic complications,mapk8*mapk9*mapk10,activation$indirect effect,jun
AGE-RAGE signaling pathway in diabetic complications,pim1,activation$indirect effect,nfatc1
AGE-RAGE signaling pathway in diabetic complications,smad2*smad3,activation,smad4
AGE-RAGE signaling pathway in diabetic complications,bcl2,activation$indirect effect,casp3
AGE-RAGE signaling pathway in diabetic complications,bax,activation$indirect effect,casp3
AGE-RAGE signaling pathway in diabetic complications,jun,expression,il1a*il1b
AGE-RAGE signaling pathway in diabetic complications,jun,expression,il6
AGE-RAGE signaling pathway in diabetic complications,jun,expression,cxcl8
AGE-RAGE signaling pathway in diabetic complications,jun,expression,tnf
AGE-RAGE signaling pathway in diabetic complications,jun,expression,f3
AGE-RAGE signaling pathway in diabetic complications,jun,expression,edn1
AGE-RAGE signaling pathway in diabetic complications,jun,expression,thbd
AGE-RAGE signaling pathway in diabetic complications,jun,expression,tgfb1
AGE-RAGE signaling pathway in diabetic complications,jun,expression,vegfd*vegfa*vegfb*vegfc
AGE-RAGE signaling pathway in diabetic complications,jun,expression,ccl2
AGE-RAGE signaling pathway in diabetic complications,jun,expression,serpine1
AGE-RAGE signaling pathway in diabetic complications,jun,expression,sele
AGE-RAGE signaling pathway in diabetic complications,jun,expression,vcam1
AGE-RAGE signaling pathway in diabetic complications,jun,expression,icam1
AGE-RAGE signaling pathway in diabetic complications,jun,expression,mmp2
AGE-RAGE signaling pathway in diabetic complications,tgfb1,activation,tgfbr2
Alcoholic liver disease,tradd*ripk1,activation,tab2*tab3*map3k7
Alcoholic liver disease,adipoq,activation,adipor1*adipor2
Alcoholic liver disease,c00083,inhibition,cpt1c*cpt1a*cpt1b
Alcoholic liver disease,c00469,activation$indirect effect,mir217
Alcoholic liver disease,c00469,activation,c1qa*c1qb*c1qc
Alcoholic liver disease,c00469,activation$indirect effect,il17a
Alcoholic liver disease,cyp2e1,compound$activation,aldh2*aldh1b1*aldh9a1*aldh3a2*aldh7a1
Alcoholic liver disease,c00469,inhibition$indirect effect,adipor1*adipor2
Alcoholic liver disease,c00469,inhibition$indirect effect,prkag2*prkag3*prkaa1*prkaa2*prkab1*prkab2*prkag1
Alcoholic liver disease,c00084,inhibition$indirect effect,prkag2*prkag3*prkaa1*prkaa2*prkab1*prkab2*prkag1
Alcoholic liver disease,c00469,activation,nox4
Alcoholic liver disease,c2,activation,c3
Alcoholic liver disease,c4b_2*hsa:110384692*c4a*c4b,activation,c3
Alcoholic liver disease,c5,activation,c5ar1
Alcoholic liver disease,cd14,activation,tlr4
Alcoholic liver disease,faslg,activation,fas
Alcoholic liver disease,mir217,inhibition$indirect effect,sirt1
Alcoholic liver disease,mir217,inhibition$indirect effect,tra2a*tra2b
Alcoholic liver disease,il17a,activation,il17rc*il17ra
Alcoholic liver disease,adipor1*adipor2,activation$indirect effect,c00076
Alcoholic liver disease,nox4,activation,c22381
Alcoholic liver disease,c3,activation,c3ar1
Alcoholic liver disease,c5ar1,activation$indirect effect,nfkb1*rela
Alcoholic liver disease,tlr4,activation,myd88*tirap
Alcoholic liver disease,tlr4*ly96,activation,ticam1
Alcoholic liver disease,fas,activation,fadd
Alcoholic liver disease,tra2a*tra2b,activation,lpin1*lpin3*lpin2
Alcoholic liver disease,il17rc*il17ra,activation$indirect effect,nfkbia
Alcoholic liver disease,c00076,activation,camkk2
Alcoholic liver disease,c22381,inhibition$indirect effect,prkag2*prkag3*prkaa1*prkaa2*prkab1*prkab2*prkag1
Alcoholic liver disease,c22381,inhibition,akt3*akt1*akt2
Alcoholic liver disease,c22381,activation,map3k5
Alcoholic liver disease,c22381,activation,map2k3*map2k6
Alcoholic liver disease,c22381,activation,map3k14
Alcoholic liver disease,c3ar1,activation$indirect effect,nfkb1*rela
Alcoholic liver disease,myd88,activation,irak4*irak1
Alcoholic liver disease,ticam1,activation,traf6*traf3
Alcoholic liver disease,camkk2,activation$phosphorylation,prkag2*prkag3*prkaa1*prkaa2*prkab1*prkab2*prkag1
Alcoholic liver disease,akt3*akt1*akt2,inhibition$phosphorylation,gsk3b
Alcoholic liver disease,akt3*akt1*akt2,activation$phosphorylation,ctnnb1
Alcoholic liver disease,map3k5,activation,map2k7*map2k4
Alcoholic liver disease,map2k3*map2k6,activation,mapk14*mapk11*mapk13*mapk12
Alcoholic liver disease,map3k14,activation,chuk*ikbkb*ikbkg
Alcoholic liver disease,nfkb1*rela,missing interaction,nfkbia
Alcoholic liver disease,irak4*irak1,activation,traf6
Alcoholic liver disease,traf3,activation,ikbke*tbk1
Alcoholic liver disease,prkag2*prkag3*prkaa1*prkaa2*prkab1*prkab2*prkag1,activation,c00003
Alcoholic liver disease,prkag2*prkag3*prkaa1*prkaa2*prkab1*prkab2*prkag1,inhibition$indirect effect,srebf1
Alcoholic liver disease,prkag2*prkag3*prkaa1*prkaa2*prkab1*prkab2*prkag1,activation$phosphorylation,ppargc1a
Alcoholic liver disease,prkag2*prkag3*prkaa1*prkaa2*prkab1*prkab2*prkag1,inhibition$phosphorylation,acacb
Alcoholic liver disease,prkag2*prkag3*prkaa1*prkaa2*prkab1*prkab2*prkag1,inhibition$phosphorylation,acaca
Alcoholic liver disease,prkag2*prkag3*prkaa1*prkaa2*prkab1*prkab2*prkag1,activation$phosphorylation,mlycd
Alcoholic liver disease,gsk3b,inhibition$phosphorylation,ctnnb1
Alcoholic liver disease,map2k7*map2k4,activation$phosphorylation,mapk8*mapk9*mapk10
Alcoholic liver disease,chuk*ikbkb*ikbkg,activation$phosphorylation,nfkbia
Alcoholic liver disease,traf6,activation,tab2*tab1*map3k7
Alcoholic liver disease,ikbke*tbk1,activation$phosphorylation,irf3
Alcoholic liver disease,c00003,activation,sirt1
Alcoholic liver disease,ctnnb1,activation,lef1*tcf7*tcf7l2*tcf7l1
Alcoholic liver disease,tab2*tab1*map3k7,activation$phosphorylation,chuk*ikbkb*ikbkg
Alcoholic liver disease,tab2*tab3*map3k7,activation$phosphorylation,chuk*ikbkb*ikbkg
Alcoholic liver disease,irf3,expression,ifna1*ifna2*ifna4*ifna5*ifna6*ifna7*ifna8*ifna10*ifna13*ifna14*ifna16*ifna17*ifna21
Alcoholic liver disease,irf3,expression,ifnb1
Alcoholic liver disease,lef1*tcf7*tcf7l2*tcf7l1,expression,ccnd1
Alcoholic liver disease,nfkbia,missing interaction,nfkb1*rela
Alcoholic liver disease,nfkb1*rela,expression,tnf
Alcoholic liver disease,nfkb1*rela,expression,il1b
Alcoholic liver disease,nfkb1*rela,expression,il6
Alcoholic liver disease,nfkb1*rela,expression,il12a*il12b
Alcoholic liver disease,nfkb1*rela,expression,cxcl8
Alcoholic liver disease,nfkb1*rela,expression,cxcl1*cxcl2*cxcl3
Alcoholic liver disease,tnf,activation,tnfrsf1a
Alcoholic liver disease,tnfrsf1a,activation,fadd*tradd
Alcoholic liver disease,tnfrsf1a,activation,tradd*ripk1
Alcoholic liver disease,tnfrsf1a,activation$indirect effect,srebf1
Alcoholic liver disease,fadd,activation,casp8
Alcoholic liver disease,fadd*tradd,activation,casp8
Alcoholic liver disease,srebf1,activation$indirect effect,srebf1
Alcoholic liver disease,casp8,activation,casp3
Alcoholic liver disease,srebf1,expression,lpin1*lpin3*lpin2
Alcoholic liver disease,lpin1*lpin3*lpin2,activation,ppargc1a*ppara
Alcoholic liver disease,lpin1*lpin3*lpin2,inhibition,srebf1
Alcoholic liver disease,ppargc1a*ppara,expression,cpt1a
Alcoholic liver disease,ppargc1a*ppara,expression,acadvl
Alcoholic liver disease,ppargc1a*ppara,expression,acadm
Alcoholic liver disease,ppargc1a*ppara,expression,acox1*acox3
Alcoholic liver disease,ppargc1a*ppara,expression,fabp1
Alcoholic liver disease,srebf1,expression,fasn
Alcoholic liver disease,srebf1,expression,acaca
Alcoholic liver disease,srebf1,expression,scd*scd5
Alcoholism,c03758,activation,drd1
Alcoholism,c00469,inhibition,slc29a1*slc29a2*slc29a3
Alcoholism,calml6*calml5*calm1*calm2*calm3*calml3*calml4,activation,camkk2*camkk1
Alcoholism,c03758,activation,drd2
Alcoholism,calml6*calml5*calm1*calm2*calm3*calml3*calml4,activation,hras*kras*nras
Alcoholism,hdac6*hdac5*hdac1*hdac2*hdac7*hdac8*hdac11*hdac10*hdac3*hdac9*hdac4,binding/association,hsa:102724334*h2be1*h2bu1*h2bw1*h2bc1*h2bw2*h2bc5*h2bc3*h2bc18*h2bs1*h2bc8*h2bc13*h2bc15*h2bc14*h2bc7*h2bc6*h2bc9*h2bc10*h2bc4*h2bc17*h2bc21*h2bc12*h2bc11*hsa:115482686*h2ac1*h2ac8*h2ac7*h2ax*h2az1*h2ac21*h2ab2*h2ab1*macroh2a2*h2aj*h2ac19*h2ac13*h2ac15*h2ac14*h2ac16*h2ac6*h2ac4*h2ac17*h2ac18*h2ac20*h2ab3*h2ac12*h2ac11*h2aw*h2az2*macroh2a1
Alcoholism,hat1,binding/association,h4-16*h4c15*h4c9*h4c1*h4c4*h4c6*h4c12*h4c11*h4c3*h4c8*h4c2*h4c5*h4c13*h4c7*h4c14*h3c14*h3-3a*h3-3b*h3c15*h3-5*h3c13*h3-4*h3c1*h3c4*h3c3*h3c6*h3c11*h3c8*h3c12*h3c10*h3c2*h3c7
Alcoholism,c00212,activation,adora2a*adora2b
Alcoholism,c00469,inhibition,grin3a*grin3b*grin1*grin2a*grin2b*grin2c*grin2d
Alcoholism,pkia,inhibition,prkaca*prkacb*prkacg
Alcoholism,sos1*sos2,activation,hras*kras*nras
Alcoholism,camkk2*camkk1,activation,camk4
Alcoholism,drd2,activation,gnb5*gnai1*gnai2*gnai3*gnao1*gnb1*gnb2*gnb3*gng3*gng4*gng5*gng7*gng10*gng11*gngt1*gngt2*gng13*gng2*gng12*gnb4*gng8
Alcoholism,drd1,activation,gnas
Alcoholism,adora2a*adora2b,activation,gnas
Alcoholism,hras*kras*nras,activation,araf*raf1*braf
Alcoholism,camk4,activation$phosphorylation,creb3*creb1*atf2*atf6b*creb3l4*atf4*creb3l2*creb3l3*creb3l1*creb5
Alcoholism,gnb5*gnai1*gnai2*gnai3*gnao1*gnb1*gnb2*gnb3*gng3*gng4*gng5*gng7*gng10*gng11*gngt1*gngt2*gng13*gng2*gng12*gnb4*gng8,activation,adcy5
Alcoholism,gnas,activation,adcy5
Alcoholism,araf*raf1*braf,activation$phosphorylation,map2k1
Alcoholism,adcy5,activation,c00575
Alcoholism,map2k1,activation$phosphorylation,mapk1*mapk3
Alcoholism,c00575,activation,prkaca*prkacb*prkacg
Alcoholism,mapk1*mapk3,activation$indirect effect,creb3*creb1*atf2*atf6b*creb3l4*atf4*creb3l2*creb3l3*creb3l1*creb5
Alcoholism,mapk1*mapk3,expression$indirect effect,pdyn
Alcoholism,prkaca*prkacb*prkacg,activation$phosphorylation,creb3*creb1*atf2*atf6b*creb3l4*atf4*creb3l2*creb3l3*creb3l1*creb5
Alcoholism,prkaca*prkacb*prkacg,activation$phosphorylation,ppp1r1b
Alcoholism,prkaca*prkacb*prkacg,activation$phosphorylation,grin3a*grin3b*grin1*grin2a*grin2b*grin2c*grin2d
Alcoholism,creb3*creb1*atf2*atf6b*creb3l4*atf4*creb3l2*creb3l3*creb3l1*creb5,expression,crh
Alcoholism,creb3*creb1*atf2*atf6b*creb3l4*atf4*creb3l2*creb3l3*creb3l1*creb5,expression,npy
Alcoholism,creb3*creb1*atf2*atf6b*creb3l4*atf4*creb3l2*creb3l3*creb3l1*creb5,expression,bdnf
Alcoholism,creb3*creb1*atf2*atf6b*creb3l4*atf4*creb3l2*creb3l3*creb3l1*creb5,expression,fosb
Alcoholism,ppp1r1b,inhibition,ppp1ca*ppp1cb*ppp1cc
Alcoholism,bdnf,activation,ntrk2
Alcoholism,ppp1ca*ppp1cb*ppp1cc,inhibition$dephosphorylation,grin3a*grin3b*grin1*grin2a*grin2b*grin2c*grin2d
Aldosterone-regulated sodium reabsorption,sfn,binding/association,nedd4l
Aldosterone-regulated sodium reabsorption,c00735,state change,c00762
Aldosterone-regulated sodium reabsorption,c00735,activation,nr3c2
Aldosterone-regulated sodium reabsorption,c01780,activation,nr3c2
Aldosterone-regulated sodium reabsorption,ins,activation,insr
Aldosterone-regulated sodium reabsorption,igf1,activation,insr
Aldosterone-regulated sodium reabsorption,nr3c2,expression,scnn1a*scnn1b*scnn1g
Aldosterone-regulated sodium reabsorption,nr3c2,expression,sgk1
Aldosterone-regulated sodium reabsorption,nr3c2,expression,kras
Aldosterone-regulated sodium reabsorption,nr3c2,expression,fxyd4
Aldosterone-regulated sodium reabsorption,nr3c2,expression,atp1b4*atp1a1*atp1a2*atp1a3*atp1a4*atp1b1*atp1b2*atp1b3*fxyd2
Aldosterone-regulated sodium reabsorption,insr,activation,irs1
Aldosterone-regulated sodium reabsorption,kras,activation$indirect effect,p3r3urf-pik3r3*pik3ca*pik3cb*pik3cd*pik3r1*pik3r2*pik3r3
Aldosterone-regulated sodium reabsorption,irs1,activation,p3r3urf-pik3r3*pik3ca*pik3cb*pik3cd*pik3r1*pik3r2*pik3r3
Aldosterone-regulated sodium reabsorption,p3r3urf-pik3r3*pik3ca*pik3cb*pik3cd*pik3r1*pik3r2*pik3r3,activation,c05981
Aldosterone-regulated sodium reabsorption,c05981,activation,pdpk1
Aldosterone-regulated sodium reabsorption,pdpk1,activation$phosphorylation,sgk1
Aldosterone-regulated sodium reabsorption,sgk1,activation,kcnj1
Aldosterone-regulated sodium reabsorption,sgk1,inhibition$phosphorylation,nedd4l
Aldosterone-regulated sodium reabsorption,nedd4l,ubiquitination,scnn1a*scnn1b*scnn1g
Allograft rejection,faslg,activation,fas
Allograft rejection,cd80*cd86,activation,cd28
Allograft rejection,cd40lg,activation,cd40
Allograft rejection,hsa:102723407,binding/association,hla-a*hla-b*hla-c*hla-dma*hla-dmb*hla-doa*hla-dob*hla-dpa1*hla-dpb1*hla-dqa1*hla-dqa2*hla-dqb1*hla-dra*hla-drb1*hla-drb3*hla-drb4*hla-drb5*hla-e*hla-f*hla-g
Aminoacyl-tRNA biosynthesis,aars1*aars2,compound,
Aminoacyl-tRNA biosynthesis,iars1*iars2,compound,
Aminoacyl-tRNA biosynthesis,dars1*dars2,compound,
Aminoacyl-tRNA biosynthesis,vars2*vars1,compound,
Aminoacyl-tRNA biosynthesis,lars2*lars1,compound,
Aminoacyl-tRNA biosynthesis,cars2*cars1,compound,
Aminoacyl-tRNA biosynthesis,rars2*rars1,compound,
Aminoacyl-tRNA biosynthesis,wars2*wars1,compound,
Aminoacyl-tRNA biosynthesis,hars2*hars1,compound,
Aminoacyl-tRNA biosynthesis,farsb*fars2*farsa,compound,
Aminoacyl-tRNA biosynthesis,gatc*gatb*qrsl1,compound,qars1
Aminoacyl-tRNA biosynthesis,gatc*gatb*qrsl1,compound,nars1*nars2
Aminoacyl-tRNA biosynthesis,qars1,compound,
