pathway,source,interactiontype,target
Adherens junction,NECTIN3*NECTIN1*NECTIN2*NECTIN4,indirect effect,SRC
Adherens junction,EGFR*ERBB2,indirect effect,MAPK1*MAPK3
Adherens junction,MAPK1*MAPK3,indirect effect,SNAI2
Adherens junction,FGFR1,indirect effect,SNAI1
Adherens junction,TGFBR1*TGFBR2,indirect effect,SNAI1
Adherens junction,TGFBR1*TGFBR2,indirect effect,SMAD3*SMAD4
Adherens junction,MAP3K7,activation$phosphorylation,NLK
Adherens junction,WASL,activation,ACTB*ACTG1
Adherens junction,WAS,activation,ACTB*ACTG1
Adherens junction,IQGAP1,activation,ACTB*ACTG1
Adherens junction,CTNND1,activation,RAC1*RAC2*RAC3*CDC42
Adherens junction,RAC1*RAC2*RAC3*CDC42,inhibition,IQGAP1
Adherens junction,YES1,activation$phosphorylation,FYN
African trypanosomiasis,TNF,expression,SELE
African trypanosomiasis,PLCB1*PLCB2*PLCB3*PLCB4,compound$activation$indirect effect,PRKCA*PRKCB*PRKCG
African trypanosomiasis,HBA1*HBA2*HBB,binding/association,HPR
African trypanosomiasis,TNF,expression,ICAM1
African trypanosomiasis,PLCB1*PLCB2*PLCB3*PLCB4,compound$activation$indirect effect,PRKCA*PRKCB*PRKCG
African trypanosomiasis,IFNG,expression,ICAM1
African trypanosomiasis,TLR9,activation,MYD88
African trypanosomiasis,THOP1,inhibition,KNG1
African trypanosomiasis,IFNG,expression,IDO2*IDO1
African trypanosomiasis,FASLG,activation$binding/association,FAS
African trypanosomiasis,F2RL1,activation,GNAQ
African trypanosomiasis,TNF,expression,VCAM1
African trypanosomiasis,GNAQ,activation$indirect effect,PLCB1*PLCB2*PLCB3*PLCB4
AGE-RAGE signaling pathway in diabetic complications,RAC1*CDC42,activation$indirect effect,MAPK8*MAPK9*MAPK10
AGE-RAGE signaling pathway in diabetic complications,AGER,activation,CYBB*NOX1*NOX4
AGE-RAGE signaling pathway in diabetic complications,HRAS*KRAS*NRAS,activation$indirect effect,MAPK1*MAPK3
AGE-RAGE signaling pathway in diabetic complications,HRAS*KRAS*NRAS,activation$indirect effect,MAPK14*MAPK11*MAPK13*MAPK12
AGE-RAGE signaling pathway in diabetic complications,RAC1*CDC42,activation$indirect effect,MAPK14*MAPK11*MAPK13*MAPK12
AGE-RAGE signaling pathway in diabetic complications,PRKCA*PRKCB*PRKCD*PRKCE*PRKCZ,activation$indirect effect,CYBB*NOX1*NOX4
AGE-RAGE signaling pathway in diabetic complications,C00195,activation$indirect effect,MAPK8*MAPK9*MAPK10
AGE-RAGE signaling pathway in diabetic complications,MAPK8*MAPK9*MAPK10,activation$indirect effect,FOXO1
AGE-RAGE signaling pathway in diabetic complications,MAPK8*MAPK9*MAPK10,inhibition$indirect effect,BCL2
AGE-RAGE signaling pathway in diabetic complications,MAPK8*MAPK9*MAPK10,activation$indirect effect,BAX
AGE-RAGE signaling pathway in diabetic complications,BCL2,activation$indirect effect,CASP3
AGE-RAGE signaling pathway in diabetic complications,BAX,activation$indirect effect,CASP3
AGE-RAGE signaling pathway in diabetic complications,NOS3,activation$indirect effect,MAPK14*MAPK11*MAPK13*MAPK12
AGE-RAGE signaling pathway in diabetic complications,MAPK14*MAPK11*MAPK13*MAPK12,activation$indirect effect,FOXO1
AGE-RAGE signaling pathway in diabetic complications,MAPK14*MAPK11*MAPK13*MAPK12,inhibition$indirect effect,BCL2
AGE-RAGE signaling pathway in diabetic complications,MAPK14*MAPK11*MAPK13*MAPK12,activation$indirect effect,BAX
AGE-RAGE signaling pathway in diabetic complications,AGER,activation$indirect effect,P3R3URF-PIK3R3*PIK3CA*PIK3CB*PIK3CD*PIK3R1*PIK3R2*PIK3R3
AGE-RAGE signaling pathway in diabetic complications,P3R3URF-PIK3R3*PIK3CA*PIK3CB*PIK3CD*PIK3R1*PIK3R2*PIK3R3,activation$indirect effect,AKT3*AKT1*AKT2
AGE-RAGE signaling pathway in diabetic complications,AKT3*AKT1*AKT2,activation$indirect effect,NFKB1*RELA
AGE-RAGE signaling pathway in diabetic complications,P3R3URF-PIK3R3*PIK3CA*PIK3CB*PIK3CD*PIK3R1*PIK3R2*PIK3R3,activation$indirect effect,CASP3
AGE-RAGE signaling pathway in diabetic complications,AGER,activation$phosphorylation,JAK2
AGE-RAGE signaling pathway in diabetic complications,JAK2,activation$phosphorylation,STAT3
AGE-RAGE signaling pathway in diabetic complications,STAT3,expression,PIM1
AGE-RAGE signaling pathway in diabetic complications,PIM1,activation$indirect effect,NFATC1
AGE-RAGE signaling pathway in diabetic complications,STAT3,expression,NFATC1
AGE-RAGE signaling pathway in diabetic complications,JAK2,activation$phosphorylation,STAT1*STAT3
AGE-RAGE signaling pathway in diabetic complications,STAT1*STAT3,expression,COL1A1*COL1A2
AGE-RAGE signaling pathway in diabetic complications,JAK2,activation$phosphorylation,STAT5A*STAT5B
AGE-RAGE signaling pathway in diabetic complications,STAT5A*STAT5B,expression,CCND1
AGE-RAGE signaling pathway in diabetic complications,C21011*C21012*C21013*C21014,activation,AGER
AGE-RAGE signaling pathway in diabetic complications,AGER,activation$indirect effect,PRKCB
AGE-RAGE signaling pathway in diabetic complications,PRKCB,activation$indirect effect,MAPK8*MAPK9*MAPK10
AGE-RAGE signaling pathway in diabetic complications,MAPK8*MAPK9*MAPK10,activation$indirect effect,EGR1
AGE-RAGE signaling pathway in diabetic complications,C00195,activation$indirect effect,MAPK14*MAPK11*MAPK13*MAPK12
AGE-RAGE signaling pathway in diabetic complications,NOS3,activation$indirect effect,MAPK8*MAPK9*MAPK10
AGE-RAGE signaling pathway in diabetic complications,JUN,expression,IL1A*IL1B
AGE-RAGE signaling pathway in diabetic complications,JUN,expression,IL6
AGE-RAGE signaling pathway in diabetic complications,JUN,expression,CXCL8
AGE-RAGE signaling pathway in diabetic complications,JUN,expression,TNF
AGE-RAGE signaling pathway in diabetic complications,JUN,expression,F3
AGE-RAGE signaling pathway in diabetic complications,JUN,expression,EDN1
AGE-RAGE signaling pathway in diabetic complications,JUN,expression,THBD
AGE-RAGE signaling pathway in diabetic complications,AGER,activation$indirect effect,PLCD3*PLCB1*PLCE1*PLCB2*PLCB3*PLCB4*PLCD1*PLCG1*PLCG2*PLCD4
AGE-RAGE signaling pathway in diabetic complications,AGT,activation,AGTR1
AGE-RAGE signaling pathway in diabetic complications,PLCD3*PLCB1*PLCE1*PLCB2*PLCB3*PLCB4*PLCD1*PLCG1*PLCG2*PLCD4,activation,C00165
AGE-RAGE signaling pathway in diabetic complications,PLCD3*PLCB1*PLCE1*PLCB2*PLCB3*PLCB4*PLCD1*PLCG1*PLCG2*PLCD4,activation,C01245
AGE-RAGE signaling pathway in diabetic complications,C00165,activation,PRKCA*PRKCB*PRKCD*PRKCE*PRKCZ
AGE-RAGE signaling pathway in diabetic complications,C00076,activation,PRKCA*PRKCB*PRKCD*PRKCE*PRKCZ
AGE-RAGE signaling pathway in diabetic complications,PRKCA*PRKCB*PRKCD*PRKCE*PRKCZ,activation$phosphorylation$indirect effect,MAPK1*MAPK3
AGE-RAGE signaling pathway in diabetic complications,PRKCA*PRKCB*PRKCD*PRKCE*PRKCZ,activation$phosphorylation$indirect effect,MAPK14*MAPK11*MAPK13*MAPK12
AGE-RAGE signaling pathway in diabetic complications,PRKCA*PRKCB*PRKCD*PRKCE*PRKCZ,activation$phosphorylation$indirect effect,MAPK8*MAPK9*MAPK10
AGE-RAGE signaling pathway in diabetic complications,C21011*C21012*C21013*C21014,activation,AGER
AGE-RAGE signaling pathway in diabetic complications,MAPK1*MAPK3,activation$indirect effect,JUN
AGE-RAGE signaling pathway in diabetic complications,MAPK1*MAPK3,activation$indirect effect,NFKB1*RELA
AGE-RAGE signaling pathway in diabetic complications,MAPK1*MAPK3,activation$phosphorylation$indirect effect,SMAD2*SMAD3
AGE-RAGE signaling pathway in diabetic complications,MAPK14*MAPK11*MAPK13*MAPK12,activation$indirect effect,JUN
AGE-RAGE signaling pathway in diabetic complications,MAPK14*MAPK11*MAPK13*MAPK12,activation$indirect effect,NFKB1*RELA
AGE-RAGE signaling pathway in diabetic complications,AGER,activation,CYBB*NOX1*NOX4
AGE-RAGE signaling pathway in diabetic complications,MAPK14*MAPK11*MAPK13*MAPK12,activation$phosphorylation$indirect effect,SMAD2*SMAD3
AGE-RAGE signaling pathway in diabetic complications,MAPK8*MAPK9*MAPK10,activation$indirect effect,JUN
AGE-RAGE signaling pathway in diabetic complications,MAPK8*MAPK9*MAPK10,activation$indirect effect,NFKB1*RELA
AGE-RAGE signaling pathway in diabetic complications,JUN,expression,TGFB1
AGE-RAGE signaling pathway in diabetic complications,JUN,expression,AGER
AGE-RAGE signaling pathway in diabetic complications,JUN,expression,VEGFD*VEGFA*VEGFB*VEGFC
AGE-RAGE signaling pathway in diabetic complications,JUN,expression,CCL2
AGE-RAGE signaling pathway in diabetic complications,JUN,expression,SERPINE1
AGE-RAGE signaling pathway in diabetic complications,JUN,expression,SELE
AGE-RAGE signaling pathway in diabetic complications,JUN,expression,VCAM1
AGE-RAGE signaling pathway in diabetic complications,JUN,expression,ICAM1
AGE-RAGE signaling pathway in diabetic complications,JUN,expression,MMP2
AGE-RAGE signaling pathway in diabetic complications,NFKB1*RELA,expression,AGER
AGE-RAGE signaling pathway in diabetic complications,NFKB1*RELA,expression,VEGFD*VEGFA*VEGFB*VEGFC
AGE-RAGE signaling pathway in diabetic complications,NFKB1*RELA,expression,CCL2
AGE-RAGE signaling pathway in diabetic complications,NFKB1*RELA,expression,SERPINE1
AGE-RAGE signaling pathway in diabetic complications,NFKB1*RELA,expression,SELE
AGE-RAGE signaling pathway in diabetic complications,NFKB1*RELA,expression,VCAM1
AGE-RAGE signaling pathway in diabetic complications,NFKB1*RELA,expression,ICAM1
AGE-RAGE signaling pathway in diabetic complications,NFKB1*RELA,expression,MMP2
AGE-RAGE signaling pathway in diabetic complications,NFKB1*RELA,expression,IL1A*IL1B
AGE-RAGE signaling pathway in diabetic complications,TGFB2*TGFB3,activation,TGFBR2
AGE-RAGE signaling pathway in diabetic complications,NFKB1*RELA,expression,IL6
AGE-RAGE signaling pathway in diabetic complications,TGFB1,activation,TGFBR2
AGE-RAGE signaling pathway in diabetic complications,NFKB1*RELA,expression,CXCL8
AGE-RAGE signaling pathway in diabetic complications,TGFBR1,phosphorylation,SMAD2*SMAD3
AGE-RAGE signaling pathway in diabetic complications,NFKB1*RELA,expression,TNF
AGE-RAGE signaling pathway in diabetic complications,SMAD2*SMAD3,activation,SMAD4
AGE-RAGE signaling pathway in diabetic complications,NFKB1*RELA,expression,F3
AGE-RAGE signaling pathway in diabetic complications,AGTR1,activation$indirect effect,TGFB2*TGFB3
AGE-RAGE signaling pathway in diabetic complications,NFKB1*RELA,expression,EDN1
AGE-RAGE signaling pathway in diabetic complications,AGTR1,activation$indirect effect,TGFB1
AGE-RAGE signaling pathway in diabetic complications,NFKB1*RELA,expression,THBD
AGE-RAGE signaling pathway in diabetic complications,AGER,activation,DIAPH1
AGE-RAGE signaling pathway in diabetic complications,DIAPH1,activation$indirect effect,RAC1*CDC42
Alcoholic liver disease,TNF,activation,TNFRSF1A
Alcoholic liver disease,CTNNB1,activation,LEF1*TCF7*TCF7L2*TCF7L1
Alcoholic liver disease,TNFRSF1A,activation,FADD*TRADD
Alcoholic liver disease,NFKB1*RELA,expression,TNF
Alcoholic liver disease,FADD*TRADD,activation,CASP8
Alcoholic liver disease,NFKB1*RELA,expression,IL1B
Alcoholic liver disease,CASP8,activation,CASP3
Alcoholic liver disease,NFKB1*RELA,expression,IL6
Alcoholic liver disease,TNFRSF1A,activation,TRADD*RIPK1
Alcoholic liver disease,NFKB1*RELA,expression,IL12A*IL12B
Alcoholic liver disease,TRADD*RIPK1,activation,TAB2*TAB3*MAP3K7
Alcoholic liver disease,NFKB1*RELA,expression,CXCL8
Alcoholic liver disease,ADIPOQ,activation,ADIPOR1*ADIPOR2
Alcoholic liver disease,IRF3,expression,IFNA1*IFNA2*IFNA4*IFNA5*IFNA6*IFNA7*IFNA8*IFNA10*IFNA13*IFNA14*IFNA16*IFNA17*IFNA21
Alcoholic liver disease,C00076,activation,CAMKK2
Alcoholic liver disease,IRF3,expression,IFNB1
Alcoholic liver disease,PRKAG2*PRKAG3*PRKAA1*PRKAA2*PRKAB1*PRKAB2*PRKAG1,activation,C00003
Alcoholic liver disease,NFKB1*RELA,expression,CXCL8
Alcoholic liver disease,C00003,activation,SIRT1
Alcoholic liver disease,NFKB1*RELA,expression,CXCL1*CXCL2*CXCL3
Alcoholic liver disease,LPIN1*LPIN3*LPIN2,activation,PPARGC1A*PPARA
Alcoholic liver disease,SREBF1,expression,FASN
Alcoholic liver disease,NFKB1*RELA,missing interaction,NFKBIA
Alcoholic liver disease,SREBF1,expression,ACACA
Alcoholic liver disease,NFKB1*RELA,missing interaction,NFKBIA
Alcoholic liver disease,SREBF1,expression,SCD*SCD5
Alcoholic liver disease,NFKB1*RELA,missing interaction,NFKBIA
Alcoholic liver disease,SREBF1,expression,LPIN1*LPIN3*LPIN2
Alcoholic liver disease,NFKBIA,missing interaction,NFKB1*RELA
Alcoholic liver disease,PPARGC1A*PPARA,expression,CPT1A
Alcoholic liver disease,C00083,inhibition,CPT1C*CPT1A*CPT1B
Alcoholic liver disease,PPARGC1A*PPARA,expression,ACADVL
Alcoholic liver disease,C00083,inhibition,CPT1C*CPT1A*CPT1B
Alcoholic liver disease,PPARGC1A*PPARA,expression,ACADM
Alcoholic liver disease,ADIPOR1*ADIPOR2,activation$indirect effect,C00076
Alcoholic liver disease,PPARGC1A*PPARA,expression,ACOX1*ACOX3
Alcoholic liver disease,C00469,activation$indirect effect,MIR217
Alcoholic liver disease,PPARGC1A*PPARA,expression,FABP1
Alcoholic liver disease,TNFRSF1A,activation$indirect effect,SREBF1
Alcoholic liver disease,LPIN1*LPIN3*LPIN2,inhibition,SREBF1
Alcoholic liver disease,SREBF1,activation$indirect effect,SREBF1
Alcoholic liver disease,TRA2A*TRA2B,activation,LPIN1*LPIN3*LPIN2
Alcoholic liver disease,C3AR1,activation$indirect effect,NFKB1*RELA
Alcoholic liver disease,LEF1*TCF7*TCF7L2*TCF7L1,expression,CCND1
Alcoholic liver disease,C5AR1,activation$indirect effect,NFKB1*RELA
Alcoholic liver disease,C00469,activation,C1QA*C1QB*C1QC
Alcoholic liver disease,IL17RC*IL17RA,activation$indirect effect,NFKBIA
Alcoholic liver disease,C00469,activation$indirect effect,IL17A
Alcoholic liver disease,MIR217,inhibition$indirect effect,SIRT1
Alcoholic liver disease,CYP2E1,compound$activation,ALDH2*ALDH1B1*ALDH9A1*ALDH3A2*ALDH7A1
Alcoholic liver disease,MIR217,inhibition$indirect effect,TRA2A*TRA2B
Alcoholic liver disease,PRKAG2*PRKAG3*PRKAA1*PRKAA2*PRKAB1*PRKAB2*PRKAG1,inhibition$indirect effect,SREBF1
Alcoholic liver disease,C00469,inhibition$indirect effect,ADIPOR1*ADIPOR2
Alcoholic liver disease,C00469,inhibition$indirect effect,PRKAG2*PRKAG3*PRKAA1*PRKAA2*PRKAB1*PRKAB2*PRKAG1
Alcoholic liver disease,C00084,inhibition$indirect effect,PRKAG2*PRKAG3*PRKAA1*PRKAA2*PRKAB1*PRKAB2*PRKAG1
Alcoholic liver disease,C22381,inhibition$indirect effect,PRKAG2*PRKAG3*PRKAA1*PRKAA2*PRKAB1*PRKAB2*PRKAG1
Alcoholic liver disease,C22381,inhibition,AKT3*AKT1*AKT2
Alcoholic liver disease,NOX4,activation,C22381
Alcoholic liver disease,C00469,activation,NOX4
Alcoholic liver disease,C22381,activation,MAP3K5
Alcoholic liver disease,MAP3K5,activation,MAP2K7*MAP2K4
Alcoholic liver disease,C22381,activation,MAP2K3*MAP2K6
Alcoholic liver disease,MAP2K3*MAP2K6,activation,MAPK14*MAPK11*MAPK13*MAPK12
Alcoholic liver disease,C22381,activation,MAP3K14
Alcoholic liver disease,MAP3K14,activation,CHUK*IKBKB*IKBKG
Alcoholic liver disease,AKT3*AKT1*AKT2,inhibition$phosphorylation,GSK3B
Alcoholic liver disease,GSK3B,inhibition$phosphorylation,CTNNB1
Alcoholic liver disease,C2,activation,C3
Alcoholic liver disease,C4B_2*hsa:110384692*C4A*C4B,activation,C3
Alcoholic liver disease,C3,activation,C3AR1
Alcoholic liver disease,C5,activation,C5AR1
Alcoholic liver disease,CD14,activation,TLR4
Alcoholic liver disease,TLR4,activation,MYD88*TIRAP
Alcoholic liver disease,MYD88,activation,IRAK4*IRAK1
Alcoholic liver disease,IRAK4*IRAK1,activation,TRAF6
Alcoholic liver disease,TRAF6,activation,TAB2*TAB1*MAP3K7
Alcoholic liver disease,TAB2*TAB1*MAP3K7,activation$phosphorylation,CHUK*IKBKB*IKBKG
Alcoholic liver disease,CHUK*IKBKB*IKBKG,activation$phosphorylation,NFKBIA
Alcoholic liver disease,IKBKE*TBK1,activation$phosphorylation,IRF3
Alcoholic liver disease,TAB2*TAB3*MAP3K7,activation$phosphorylation,CHUK*IKBKB*IKBKG
Alcoholic liver disease,CHUK*IKBKB*IKBKG,activation$phosphorylation,NFKBIA
Alcoholic liver disease,CAMKK2,activation$phosphorylation,PRKAG2*PRKAG3*PRKAA1*PRKAA2*PRKAB1*PRKAB2*PRKAG1
Alcoholic liver disease,PRKAG2*PRKAG3*PRKAA1*PRKAA2*PRKAB1*PRKAB2*PRKAG1,activation$phosphorylation,PPARGC1A
Alcoholic liver disease,PRKAG2*PRKAG3*PRKAA1*PRKAA2*PRKAB1*PRKAB2*PRKAG1,inhibition$phosphorylation,ACACB
Alcoholic liver disease,PRKAG2*PRKAG3*PRKAA1*PRKAA2*PRKAB1*PRKAB2*PRKAG1,inhibition$phosphorylation,ACACA
Alcoholic liver disease,PRKAG2*PRKAG3*PRKAA1*PRKAA2*PRKAB1*PRKAB2*PRKAG1,activation$phosphorylation,MLYCD
Alcoholic liver disease,AKT3*AKT1*AKT2,activation$phosphorylation,CTNNB1
Alcoholic liver disease,MAP2K7*MAP2K4,activation$phosphorylation,MAPK8*MAPK9*MAPK10
Alcoholic liver disease,CHUK*IKBKB*IKBKG,activation$phosphorylation,NFKBIA
Alcoholic liver disease,TLR4*LY96,activation,TICAM1
Alcoholic liver disease,TICAM1,activation,TRAF6*TRAF3
Alcoholic liver disease,TRAF3,activation,IKBKE*TBK1
Alcoholic liver disease,IL17A,activation,IL17RC*IL17RA
Alcoholic liver disease,FASLG,activation,FAS
Alcoholic liver disease,FAS,activation,FADD
Alcoholic liver disease,FADD,activation,CASP8
Alcoholism,HRAS*KRAS*NRAS,activation,ARAF*RAF1*BRAF
Alcoholism,PPP1R1B,inhibition,PPP1CA*PPP1CB*PPP1CC
Alcoholism,C03758,activation,DRD1
Alcoholism,PPP1CA*PPP1CB*PPP1CC,inhibition$dephosphorylation,GRIN3A*GRIN3B*GRIN1*GRIN2A*GRIN2B*GRIN2C*GRIN2D
Alcoholism,DRD1,activation,GNAS
Alcoholism,C00469,inhibition,SLC29A1*SLC29A2*SLC29A3
Alcoholism,GNAS,activation,ADCY5
Alcoholism,CREB3*CREB1*ATF2*ATF6B*CREB3L4*ATF4*CREB3L2*CREB3L3*CREB3L1*CREB5,expression,CRH
Alcoholism,ADCY5,activation,C00575
Alcoholism,CREB3*CREB1*ATF2*ATF6B*CREB3L4*ATF4*CREB3L2*CREB3L3*CREB3L1*CREB5,expression,NPY
Alcoholism,C00575,activation,PRKACA*PRKACB*PRKACG
Alcoholism,CREB3*CREB1*ATF2*ATF6B*CREB3L4*ATF4*CREB3L2*CREB3L3*CREB3L1*CREB5,expression,BDNF
Alcoholism,CALML6*CALML5*CALM1*CALM2*CALM3*CALML3*CALML4,activation,CAMKK2*CAMKK1
Alcoholism,CREB3*CREB1*ATF2*ATF6B*CREB3L4*ATF4*CREB3L2*CREB3L3*CREB3L1*CREB5,expression,FOSB
Alcoholism,C03758,activation,DRD2
Alcoholism,CAMKK2*CAMKK1,activation,CAMK4
Alcoholism,PRKACA*PRKACB*PRKACG,activation$phosphorylation,CREB3*CREB1*ATF2*ATF6B*CREB3L4*ATF4*CREB3L2*CREB3L3*CREB3L1*CREB5
Alcoholism,CALML6*CALML5*CALM1*CALM2*CALM3*CALML3*CALML4,activation,HRAS*KRAS*NRAS
Alcoholism,CAMK4,activation$phosphorylation,CREB3*CREB1*ATF2*ATF6B*CREB3L4*ATF4*CREB3L2*CREB3L3*CREB3L1*CREB5
Alcoholism,HRAS*KRAS*NRAS,activation,ARAF*RAF1*BRAF
Alcoholism,PRKACA*PRKACB*PRKACG,activation$phosphorylation,CREB3*CREB1*ATF2*ATF6B*CREB3L4*ATF4*CREB3L2*CREB3L3*CREB3L1*CREB5
Alcoholism,ADCY5,activation,C00575
Alcoholism,DRD2,activation,GNB5*GNAI1*GNAI2*GNAI3*GNAO1*GNB1*GNB2*GNB3*GNG3*GNG4*GNG5*GNG7*GNG10*GNG11*GNGT1*GNGT2*GNG13*GNG2*GNG12*GNB4*GNG8
Alcoholism,MAPK1*MAPK3,activation$indirect effect,CREB3*CREB1*ATF2*ATF6B*CREB3L4*ATF4*CREB3L2*CREB3L3*CREB3L1*CREB5
Alcoholism,HDAC6*HDAC5*HDAC1*HDAC2*HDAC7*HDAC8*HDAC11*HDAC10*HDAC3*HDAC9*HDAC4,binding/association,hsa:102724334*H2BE1*H2BU1*H2BW1*H2BC1*H2BW2*H2BC5*H2BC3*H2BC18*H2BS1*H2BC8*H2BC13*H2BC15*H2BC14*H2BC7*H2BC6*H2BC9*H2BC10*H2BC4*H2BC17*H2BC21*H2BC12*H2BC11*hsa:115482686*H2AC1*H2AC8*H2AC7*H2AX*H2AZ1*H2AC21*H2AB2*H2AB1*MACROH2A2*H2AJ*H2AC19*H2AC13*H2AC15*H2AC14*H2AC16*H2AC6*H2AC4*H2AC17*H2AC18*H2AC20*H2AB3*H2AC12*H2AC11*H2AW*H2AZ2*MACROH2A1
Alcoholism,GNB5*GNAI1*GNAI2*GNAI3*GNAO1*GNB1*GNB2*GNB3*GNG3*GNG4*GNG5*GNG7*GNG10*GNG11*GNGT1*GNGT2*GNG13*GNG2*GNG12*GNB4*GNG8,activation,ADCY5
Alcoholism,MAPK1*MAPK3,expression$indirect effect,PDYN
